"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"117",118,125,1.81807943735891,0.141824589091848,1.56498854552415,1.5964239170974,1.71428131919803,1.81302291515679,1.91476406870554,2.05412284284058,2.10362524738514
"118",119,126,1.70711642730504,0.125559360533756,1.48857927545978,1.5158909037281,1.61703851745144,1.69908235739237,1.78853703487616,1.92385387739921,1.97419243272711
"119",120,127,1.54282942687858,0.114903476941114,1.34517937730851,1.37081157669627,1.4604715419577,1.53373934987929,1.61990981657283,1.74104130426135,1.78214280944147
"120",121,128,1.44709877280703,0.0978854702652441,1.26951700084437,1.29286350612232,1.37669743853223,1.44184090486758,1.51121004625066,1.61714874247309,1.64722634473913
"121",122,129,1.35010549591686,0.0841936513542578,1.19194662886346,1.21614501279944,1.29089783083822,1.34830805981713,1.40808123354696,1.48644656263499,1.51703359927895
"122",123,130,1.37881824628143,0.0786734969766364,1.22474198981245,1.24956942498481,1.32684738162832,1.37855401097354,1.43087438954581,1.51168005468448,1.53540838873972
"123",124,131,1.28208500670193,0.0730304590716762,1.13725416173021,1.16515588687352,1.23195982890111,1.28160187686193,1.33215984068426,1.40543786555238,1.42558395289998
"124",125,132,1.23679050962786,0.0675025481774596,1.11331028912998,1.12994642990538,1.18935418575903,1.23481062699974,1.28416083989056,1.35029592621534,1.36775221360955
"125",126,133,1.17489745646539,0.061870397724434,1.05749314398352,1.07514029784639,1.13352298843594,1.1728971765066,1.21537080647842,1.27883015633745,1.29954898912974
"126",127,134,1.19545633257349,0.0583336123340571,1.08105128475016,1.1034032723067,1.15620099917898,1.1937239263627,1.23410782151359,1.29321513413984,1.31009973034586
"127",128,135,1.30368402826421,0.0613445905072305,1.18619007685519,1.20517650445972,1.26216760503757,1.30194212742098,1.3444736266795,1.40519815152038,1.4268182279385
"128",129,136,1.26353954340686,0.0596150412314099,1.1494545914261,1.17050523558706,1.22239094406105,1.26071901827377,1.30608610944741,1.36006127711466,1.38344407414976
"129",130,137,1.23181782286144,0.0582376532547912,1.12226413622838,1.13808896049217,1.19129677819067,1.23087383878685,1.2716767958083,1.32798453605346,1.34881687301914
"130",131,138,1.15394357717129,0.0558442640977939,1.04697709661303,1.06638312546826,1.1147679207484,1.1540713714229,1.19171837882409,1.24705567858094,1.26290176179131
"131",132,139,1.1439310734596,0.0511405155711494,1.04491511677025,1.06215721560653,1.10887688609308,1.1427789258575,1.17728824720033,1.23046608434904,1.24811498056699
"132",133,140,1.14942201823828,0.050610630920791,1.05049278262452,1.06760594812931,1.11559479113091,1.14795968308531,1.18375915952914,1.2331867499779,1.24615435732662
"133",134,141,1.09679799883893,0.0490332007366305,1.00213354551442,1.0182072977661,1.06403760239636,1.09542145430676,1.12971447230114,1.17797778896846,1.19452548290559
"134",135,142,1.0421588909061,0.046344967737566,0.955423158960074,0.968665543065095,1.01078512295889,1.04014073472577,1.07256464814083,1.12034636337221,1.13655373058459
"135",136,143,0.940231910948232,0.0434725810177097,0.859945504816902,0.873376600721124,0.909888732934343,0.938627111855746,0.969281499817182,1.01598951086652,1.03023176109796
"136",137,144,0.972971941580978,0.0437147239833174,0.888996787749743,0.901230050581679,0.943376706080998,0.972965282337246,1.00256887754237,1.04298113068273,1.05887046360918
"137",138,145,0.94690902536999,0.0442992641540393,0.860708569066681,0.875249594795315,0.917726794857598,0.945138956304525,0.976756065290138,1.02082179228732,1.03531352036633
"138",139,146,0.949146250029321,0.0432384364131603,0.866921262410684,0.879044782542441,0.919662781340959,0.947989828552374,0.977787187706439,1.02148545607996,1.03677377447726
"139",140,147,1.03733874767678,0.0449095040256599,0.951049023290859,0.964792125230487,1.00701235761715,1.0369089587697,1.06696323678336,1.11278511319939,1.12904038408447
"140",141,148,1.18493019736353,0.0479041234283785,1.09192234969762,1.10636315762701,1.15259130366163,1.18485968966548,1.21710258584216,1.26300173544465,1.27922747009197
"141",142,149,1.24890742317539,0.0503116614107652,1.15011581128683,1.16570588652772,1.21521222943303,1.24835997754812,1.28219481378956,1.33305470272082,1.35050871184953
"142",143,150,1.33839209344386,0.0538398521432469,1.23848673491334,1.25079168169561,1.30108309096564,1.33808565280416,1.37303548374596,1.42856900723546,1.44684662418898
"143",144,151,1.42805122507417,0.0601052711479088,1.31497878140709,1.33359342181962,1.38512770851367,1.42624918736263,1.46887654622756,1.52982452232488,1.54938282329317
"144",145,152,1.40615189511299,0.0623883209561245,1.29084826897852,1.30754253917813,1.36336577291442,1.40430309678207,1.44641142028182,1.51125185762787,1.53435656608286
"145",146,153,1.45116214891675,0.0667906554157728,1.33023378441232,1.34699898869176,1.40445224030952,1.44923941666149,1.49426821014883,1.56304923290383,1.59105081353927
"146",147,154,1.50752260483631,0.0660415716361585,1.38555550696016,1.40074016587916,1.46051235473427,1.50600839218481,1.55183310853882,1.61442043161627,1.64245497659949
"147",148,155,1.4745607702055,0.0687452217367821,1.35349395671516,1.36841083151301,1.42385792825794,1.47201044976944,1.52261592215334,1.59033741224288,1.61088320556526
"148",149,156,1.38641445389282,0.0642601398029328,1.26737214811644,1.28437443056849,1.34053352761275,1.3837112679583,1.43041506317419,1.49540561181004,1.5181778896
"149",150,157,1.37052080338282,0.0594725526604216,1.26159554965317,1.27707224681541,1.32770931644568,1.3695466788768,1.41157166806263,1.47084564529897,1.48828047662987
"150",151,158,1.3951554647569,0.0575345514983932,1.29030553943418,1.30200701395893,1.35193492435281,1.39523711343799,1.43387230202665,1.49121522292989,1.50569737852151
"151",152,159,1.3646767374895,0.0537191495386898,1.26356242291816,1.27662257193276,1.3264235314497,1.36459042690546,1.40057534533886,1.45508964409635,1.47352690679655
"152",153,160,1.35032043433239,0.0513376197029303,1.25223819502466,1.26851971844693,1.31350821946034,1.35031235185521,1.38501224191067,1.43569333143578,1.45308483580665
"153",154,161,1.35716358818738,0.0496870888376952,1.26321014864069,1.27908131293118,1.32186066014976,1.35698350871338,1.39155294599715,1.4404402236889,1.4569669802667
"154",155,162,1.37998094305026,0.0481842898084523,1.28896948376622,1.30002801640101,1.34654255572603,1.37913454226991,1.41338555827353,1.45947510494901,1.47644512848431
"155",156,163,1.44070287701622,0.0503636085393725,1.34639906664353,1.36036258635191,1.40520921850731,1.43955687799208,1.47545380834951,1.52477406036455,1.54029244529959
"156",157,164,1.50527869037607,0.0534566163521814,1.40561730341351,1.41802113870049,1.46676729524461,1.50484123017624,1.54204682923009,1.59443706096425,1.61104559320255
"157",158,165,1.54524016648458,0.0593082388798879,1.43626643455112,1.45063302079382,1.50147033617378,1.54561570458807,1.58808190983747,1.6424489515879,1.66104281824579
"158",159,166,1.52919018701322,0.0617660469495206,1.41864120404497,1.43202494987929,1.48056328189064,1.52937350659982,1.57372687274685,1.63164362433836,1.64901323211268
"159",160,167,1.47804821152722,0.0618521164323138,1.36793537305088,1.38282779918247,1.43171235598022,1.47610979830569,1.52293605981012,1.58341876586772,1.60231311725358
"160",161,168,1.45407003801745,0.059306004842796,1.34954696523749,1.36011965978832,1.40836451965554,1.45474489629372,1.49637500410174,1.55432568652894,1.56761436123322
"161",162,169,1.44450142860542,0.0558202590389548,1.34385934474223,1.35640471516564,1.40266329582968,1.44357317085179,1.48346663682565,1.53762554479349,1.55435356545246
"162",163,170,1.43284423225457,0.0522337155155582,1.33651465477001,1.34962355008713,1.39474721835463,1.43163661081678,1.46973372967728,1.5206873224067,1.53801242540447
"163",164,171,1.43909046381877,0.0511513646784823,1.34628164260029,1.35767920326536,1.39994529527221,1.4396482080637,1.47734534250015,1.52274868762221,1.53708934384677
"164",165,172,1.43586847268033,0.0494437513315845,1.34650944304436,1.35758956941192,1.39786572171527,1.4356440025621,1.4710687882034,1.51710277811853,1.5329279032362
"165",166,173,1.42619113448933,0.0480087798116741,1.33898743963566,1.34929725672016,1.39085989191673,1.42647428784158,1.46096482890252,1.50607261608447,1.51861998242032
"166",167,174,1.36521959993451,0.046673072053803,1.28225388072946,1.29196513407924,1.32892429686189,1.36544867222474,1.399918060349,1.44076181978312,1.45519722676558
"167",168,175,1.39399401271485,0.0450374749292188,1.3137410795033,1.32199018051485,1.36056487181406,1.39373712364143,1.42730005549621,1.46632997492255,1.47855402871302
