"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"53",54,61,2.57781988307909,2.02604677725648,0.222656434032369,0.343695463978673,1.08569616927495,2.0663534897336,3.5213181886201,6.48252184422456,7.83122298688091
"54",55,62,2.61064116319953,1.99928302063674,0.224736782790972,0.363494448154124,1.16095972178876,2.11923051009398,3.47025009740411,6.46789151975903,7.82048951843805
"55",56,63,2.64049854488434,2.03984287195078,0.260777148517147,0.380039041241662,1.14584251140973,2.13601726026084,3.55069465832885,6.7257119960035,7.94321212549765
"56",57,64,2.56908057497917,2.02417965067449,0.236196625254006,0.344140301955737,1.09938693379435,2.06664753861542,3.46840816100657,6.38964714595837,7.79699920189672
"57",58,65,2.6109879380186,1.99154350248291,0.233793794731038,0.368570611514312,1.12928839468496,2.15230670391109,3.59038283007685,6.45081955720954,7.84332672734494
"58",59,66,2.58147040908896,1.96592939039533,0.211662668256462,0.344608635211285,1.17571753625809,2.13969089152809,3.45904175617017,6.35298808626661,7.39408285613621
"59",60,67,2.60222325668774,1.94464351606688,0.284277227458168,0.409916852748728,1.17318838340439,2.11427533708539,3.51665800638578,6.42692612675351,7.65461663069591
"60",61,68,2.59929004372693,2.04155922898598,0.241580440009119,0.36594014028463,1.14963601016868,2.11316404636223,3.51874001741662,6.58175901321104,7.78878575348381
"61",62,69,2.61770868108788,1.95191611660083,0.226568845580596,0.376816678646718,1.18941387638,2.15384348144357,3.53073718823144,6.42864383260717,7.5984587605469
"62",63,70,2.62113692931906,2.0716029278772,0.234024344125229,0.36073716805296,1.1131374098301,2.14307898614059,3.51894391671826,6.56914917282402,8.2271391989307
"63",64,71,2.54517384355362,1.94661903789973,0.240217286728323,0.360551893153417,1.12451211922338,2.06759463581433,3.46465160977162,6.37676662110552,7.65058344105111
"64",65,72,2.63775641836763,2.08369353712203,0.195436412519809,0.321397961640931,1.12166851619787,2.08905572739339,3.60813619713904,6.59673651813956,7.67459048645828
